Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
371,Saku Koivu\koivusa01,25,MTL,C,24,3,18,21,7,14,2.2,2,1,0,0,11,6,1,53,5.7,461,19:13
372,Zenith Komarniski\komarze01,21,VAN,D,18,1,1,2,-1,8,0.5,1,0,0,0,1,0,0,21,4.8,291,16:11
373,Steve Konowalchuk\konowst01,27,WSH,LW,82,16,27,43,19,80,4.4,13,3,0,1,24,3,0,146,11.0,1444,17:36
374,Evgeny Korolev\korolev01,21,NYI,D,17,1,2,3,-10,8,-0.1,1,0,0,0,1,1,0,7,14.3,275,16:12
375,Igor Korolev\korolig01,29,TOR,RW,80,20,26,46,12,22,4.7,12,5,3,4,18,6,2,101,19.8,1435,17:56
376,Alexander Korolyuk\korolal01,24,SJS,LW,57,14,21,35,4,35,3.9,11,3,0,1,15,6,0,124,11.3,776,13:36
377,Andrei Kovalenko\kovalan01,29,CAR,RW,76,15,24,39,-13,38,3.4,13,2,0,3,18,6,0,114,13.2,1138,14:59
378,Alex Kovalev\kovalal01,26,PIT,RW,82,26,40,66,-3,94,5.7,15,9,2,4,20,17,3,254,10.2,1876,22:53
379,Viktor Kozlov\kozlovi01,24,FLA,C,80,17,53,70,24,16,7.2,11,6,0,2,38,15,0,223,7.6,1556,19:27
380,Vyacheslav Kozlov\kozlovy01,27,DET,LW,72,18,18,36,11,28,3.9,14,4,0,3,14,4,0,165,10.9,1116,15:30
381,Igor Kravchuk\kravcig01,33,OTT,D,64,6,12,18,-5,20,3.6,1,5,0,1,4,7,1,126,4.8,1324,20:41
382,Sergei Krivokrasov\krivose01,25,TOT,RW,75,10,27,37,-5,44,3.2,7,3,0,2,15,12,0,159,6.3,988,13:11
383,Jason Krog\krogja01,24,NYI,C,17,2,4,6,-1,6,0.5,1,1,0,0,2,2,0,22,9.1,171,10:03
384,Robert Kron\kronro01,32,CAR,LW,81,13,27,40,-4,8,3.6,10,2,1,3,23,4,0,134,9.7,1233,15:14
385,Paul Kruse\krusepa01,29,BUF,LW,11,0,0,0,-2,43,-0.2,0,0,0,0,0,0,0,7,0.0,69,6:15
386,Filip Kuba\kubafi01,23,FLA,D,13,1,5,6,-3,2,0.7,0,1,0,1,2,3,0,16,6.3,180,13:52
387,Pavel Kubina\kubinpa01,22,TBL,D,69,8,18,26,-19,93,3.4,2,6,0,3,9,9,0,128,6.3,1555,22:32
388,Oleg Kvasha\kvashol01,21,FLA,RW,78,5,20,25,3,34,1.6,3,2,0,0,18,2,0,110,4.5,890,11:24
389,Antti Laaksonen\laaksan01,26,BOS,LW,27,6,3,9,3,2,1.4,6,0,0,1,3,0,0,23,26.1,212,7:50
390,Scott Lachance\lachasc01,27,MTL,D,57,0,6,6,-4,22,2.0,0,0,0,0,6,0,0,41,0.0,1013,17:47
391,Dan LaCouture\lacouda01,22,EDM,LW,5,0,0,0,0,10,-0.1,0,0,0,0,0,0,0,2,0.0,35,7:02
392,Daniel Lacroix\lacroda01,30,NYI,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,11,10:40
393,Eric Lacroix\lacroer01,28,NYR,LW,70,4,8,12,-12,24,0.0,4,0,0,1,8,0,0,46,8.7,702,10:02
394,Christian Laflamme\laflach01,23,TOT,D,65,0,7,7,-9,40,1.1,0,0,0,0,7,0,0,24,0.0,902,13:52
395,Denny Lambert\lambede01,30,ATL,LW,73,5,6,11,-17,219,-0.3,3,2,0,0,5,1,0,83,6.0,850,11:39
396,Robert Lang\langro01,29,PIT,C,78,23,42,65,-9,14,5.7,10,13,0,5,29,13,0,142,16.2,1510,19:22
397,Darren Langdon\langdda01,29,NYR,LW,21,0,1,1,-2,26,-0.2,0,0,0,0,1,0,0,13,0.0,118,5:36
398,Jamie Langenbrunner\langeja01,24,DAL,RW,65,18,21,39,16,68,4.9,12,4,2,6,16,5,0,153,11.8,1141,17:33
399,Daymond Langkow\langkda01,23,PHI,C,82,18,32,50,1,56,5.2,13,5,0,7,18,13,1,222,8.1,1390,16:57
400,Jeff Lank\lankje01,24,PHI,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,26,13:06
401,Ian Laperriere\laperia01,26,LAK,C,79,9,13,22,-14,185,0.7,9,0,0,1,12,0,1,87,10.3,1047,13:15
402,Darryl Laplante\laplada01,22,DET,C,30,0,6,6,-2,10,0.0,0,0,0,0,6,0,0,19,0.0,287,9:35
403,Claude Lapointe\lapoicl01,31,NYI,C,76,15,16,31,-22,60,1.4,12,2,1,3,11,5,0,129,11.6,1493,19:39
404,Martin Lapointe\lapoima01,26,DET,RW,82,16,25,41,17,121,4.3,14,1,1,2,17,8,0,127,12.6,1207,14:43
405,Georges Laraque\laraqge01,23,EDM,RW,76,8,8,16,5,123,1.6,8,0,0,0,8,0,0,56,14.3,644,8:28
406,Igor Larionov*\larioig01,39,DET,C,79,9,38,47,13,28,3.9,6,3,0,4,26,12,0,69,13.0,1270,16:05
407,Janne Laukkanen\laukkja01,29,TOT,D,71,2,18,20,17,67,5.0,1,1,0,0,14,3,1,81,2.5,1373,19:20
408,Paul Laus\lauspa01,29,FLA,D,77,3,8,11,-1,172,1.9,3,0,0,0,7,1,0,44,6.8,586,7:37
409,Mark Lawrence\lawrema01,28,NYI,RW,29,1,5,6,-13,26,-0.5,1,0,0,0,1,4,0,33,3.0,405,13:57
410,Stephen Leach\leachst01,34,PIT,RW,56,2,3,5,-11,24,-0.4,2,0,0,1,3,0,0,41,4.9,372,6:39
411,Vincent Lecavalier\lecavvi01,19,TBL,C,80,25,42,67,-25,43,5.9,19,6,0,3,20,22,0,166,15.1,1544,19:18
412,John LeClair\leclajo01,30,PHI,LW,82,40,37,77,8,36,10.2,27,13,0,7,26,11,0,249,16.1,1664,20:18
413,Mike Leclerc\leclemi01,23,MDA,LW,69,8,11,19,-15,70,0.8,8,0,0,2,10,1,0,105,7.6,837,12:08
